sex,age,age_cat,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,race,two_year_recid
Male,34,25 - 45,0,0,0,0,F,African-American,1
Male,24,Less than 25,0,0,1,4,F,African-American,1
Male,41,25 - 45,0,0,0,14,F,Caucasian,1
Female,39,25 - 45,0,0,0,0,M,Caucasian,0
Male,27,25 - 45,0,0,0,0,F,Caucasian,0
Male,23,Less than 25,0,0,0,3,M,African-American,1
Female,37,25 - 45,0,0,0,0,M,Caucasian,0
Male,41,25 - 45,0,0,0,0,F,African-American,0
Female,47,Greater than 45,0,0,0,1,F,Caucasian,1
Male,31,25 - 45,0,0,0,7,F,African-American,1
Male,25,25 - 45,0,0,0,3,F,African-American,0
Male,31,25 - 45,0,0,0,6,F,Caucasian,1
Male,31,25 - 45,0,0,0,5,F,Caucasian,1
Male,64,Greater than 45,0,0,0,13,F,African-American,1
Male,21,Less than 25,0,0,0,1,F,African-American,1
Male,27,25 - 45,0,0,0,0,M,Caucasian,1
Female,21,Less than 25,0,0,0,0,F,Caucasian,0
Male,43,25 - 45,0,0,0,1,M,Caucasian,0
Male,27,25 - 45,0,0,0,8,F,African-American,1
Male,26,25 - 45,0,0,1,5,F,African-American,1
Male,33,25 - 45,0,0,0,0,F,African-American,1
Male,30,25 - 45,0,0,0,9,F,Caucasian,1
Male,32,25 - 45,0,0,0,4,F,African-American,1
Male,55,Greater than 45,0,0,0,0,F,Caucasian,0
Female,33,25 - 45,0,0,0,4,M,Caucasian,1
Male,24,Less than 25,0,0,0,1,M,Caucasian,1
Male,34,25 - 45,2,1,3,21,F,African-American,1
Male,29,25 - 45,0,0,0,0,M,Caucasian,0
Female,21,Less than 25,0,0,0,2,F,African-American,0
Male,51,Greater than 45,0,0,0,2,M,African-American,0
Male,29,25 - 45,0,0,0,2,M,Caucasian,1
Female,51,Greater than 45,0,0,0,7,F,African-American,0
Male,29,25 - 45,0,0,0,0,F,African-American,1
Male,25,25 - 45,0,0,0,9,M,Caucasian,1
Male,35,25 - 45,1,0,4,13,F,African-American,1
Male,49,Greater than 45,0,0,0,0,M,Caucasian,0
Male,29,25 - 45,0,0,0,0,F,African-American,0
Male,29,25 - 45,0,0,0,1,F,Caucasian,1
Male,31,25 - 45,0,0,1,15,F,African-American,0
Male,24,Less than 25,0,0,0,2,F,African-American,1
Male,49,Greater than 45,0,0,0,4,M,African-American,0
Male,53,Greater than 45,0,0,0,8,F,Caucasian,0
Male,35,25 - 45,0,0,0,5,F,African-American,0
Male,27,25 - 45,1,1,2,15,F,African-American,1
Male,38,25 - 45,0,0,0,4,M,Caucasian,1
Male,22,Less than 25,0,0,1,1,F,African-American,1
Male,29,25 - 45,0,0,0,4,F,African-American,1
Male,27,25 - 45,0,1,0,6,F,African-American,1
Female,56,Greater than 45,0,0,0,0,M,African-American,0
Male,39,25 - 45,0,0,0,1,M,African-American,0
Male,29,25 - 45,0,0,0,5,F,African-American,1
Male,27,25 - 45,0,0,1,1,F,Caucasian,1
Male,40,25 - 45,0,0,0,2,F,African-American,0
Male,22,Less than 25,0,0,0,1,M,African-American,1
Male,22,Less than 25,0,0,0,0,F,Caucasian,0
Female,26,25 - 45,0,0,0,1,F,African-American,1
Male,32,25 - 45,0,0,0,0,F,African-American,0
Male,41,25 - 45,0,0,0,1,M,African-American,0
Male,30,25 - 45,0,0,0,8,M,African-American,1
Male,25,25 - 45,1,6,1,14,F,African-American,1
Male,22,Less than 25,1,0,0,2,F,African-American,1
Female,35,25 - 45,0,0,0,1,M,African-American,0
Male,36,25 - 45,0,0,0,9,F,African-American,1
Male,26,25 - 45,0,0,0,7,F,Caucasian,1
Male,25,25 - 45,0,0,0,9,F,Caucasian,1
Female,20,Less than 25,0,0,0,0,F,Caucasian,0
Male,39,25 - 45,0,0,0,2,F,Caucasian,1
Female,54,Greater than 45,0,0,0,0,M,Caucasian,0
Male,19,Less than 25,0,0,0,1,M,African-American,1
Male,30,25 - 45,0,0,0,1,F,African-American,0
Female,39,25 - 45,0,0,0,0,F,Caucasian,1
Male,24,Less than 25,0,1,2,8,F,Caucasian,1
Male,30,25 - 45,0,0,0,0,F,Caucasian,0
Male,31,25 - 45,0,0,0,0,M,Caucasian,0
Female,39,25 - 45,0,0,0,1,F,Caucasian,0
Male,43,25 - 45,0,0,0,1,F,Caucasian,0
Male,21,Less than 25,0,0,0,3,F,African-American,1
Male,38,25 - 45,0,0,0,5,M,Caucasian,1
Male,34,25 - 45,0,0,0,0,F,Caucasian,0
Male,33,25 - 45,0,0,0,5,F,African-American,1
Male,37,25 - 45,0,0,0,3,F,African-American,0
Male,42,25 - 45,0,0,0,1,F,Caucasian,1
Male,41,25 - 45,0,1,0,10,F,African-American,1
